分拣中心,日期,预测货量,预测货量(取整)
SC48,2024/4/12,770.654792,770
SC48,2024/4/13,798.2795019,798
SC48,2024/4/14,802.8281794,802
SC48,2024/4/15,803.5818539,803
SC48,2024/4/16,803.7068546,803
SC48,2024/4/17,803.7275742,803
SC48,2024/4/18,803.7310097,803
SC48,2024/4/19,803.7315859,803
SC48,2024/4/20,803.7316926,803
SC48,2024/4/21,803.7316926,803
SC48,2024/4/22,803.7316926,803
SC48,2024/4/23,803.7316926,803
SC48,2024/4/24,803.7316926,803
SC48,2024/4/25,803.7316926,803
SC48,2024/4/26,803.7316926,803
SC48,2024/4/27,803.7316926,803
SC48,2024/4/28,803.7316926,803
SC48,2024/4/29,803.7316926,803
SC48,2024/4/30,803.7316926,803
SC48,2024/5/1,803.7316926,803
SC48,2024/5/2,803.7316926,803
SC48,2024/5/3,803.7316926,803
SC48,2024/5/4,803.7316926,803
SC48,2024/5/5,803.7316926,803
SC48,2024/5/6,803.7316926,803
SC48,2024/5/7,803.7316926,803
SC48,2024/5/8,803.7316926,803
SC48,2024/5/9,803.7316926,803
SC48,2024/5/10,803.7316926,803
SC48,2024/5/11,803.7316926,803
SC61,2024/4/12,660.5732454,660
SC61,2024/4/13,677.3999408,677
SC61,2024/4/14,694.4912093,694
SC61,2024/4/15,711.856393,711
SC61,2024/4/16,729.5027982,729
SC61,2024/4/17,747.4354516,747
SC61,2024/4/18,765.6567788,765
SC61,2024/4/19,784.1664292,784
SC61,2024/4/20,802.9608081,802
SC61,2024/4/21,822.0329015,822
SC61,2024/4/22,841.3719546,841
SC61,2024/4/23,860.9630432,860
SC61,2024/4/24,880.786918,880
SC61,2024/4/25,900.8198092,900
SC61,2024/4/26,921.0331545,921
SC61,2024/4/27,941.3935985,941
SC61,2024/4/28,961.862876,961
SC61,2024/4/29,982.3981238,982
SC61,2024/4/30,1002.952076,1002
SC61,2024/5/1,1023.473179,1023
SC61,2024/5/2,1043.906529,1043
SC61,2024/5/3,1064.194222,1064
SC61,2024/5/4,1084.276406,1084
SC61,2024/5/5,1104.091981,1104
SC61,2024/5/6,1123.579692,1123
SC61,2024/5/7,1142.67914,1142
SC61,2024/5/8,1161.332187,1161
SC61,2024/5/9,1179.483345,1179
SC61,2024/5/10,1197.081646,1197
SC61,2024/5/11,1214.081109,1214
SC63,2024/4/12,3394.940574,3394
