分拣中心,日期,小时,预测货量
SC54,2023-12-01,1,164.5472616404295
SC54,2023-12-01,2,164.5472616404295
SC54,2023-12-01,3,164.5472616404295
SC54,2023-12-01,4,164.5472616404295
SC54,2023-12-01,5,164.5472616404295
SC54,2023-12-01,6,164.5472616404295
SC54,2023-12-01,7,164.5472616404295
SC54,2023-12-01,8,164.5472616404295
SC54,2023-12-01,9,164.5472616404295
SC54,2023-12-01,10,164.5472616404295
SC54,2023-12-01,11,164.5472616404295
SC54,2023-12-01,12,164.5472616404295
SC54,2023-12-01,13,164.5472616404295
SC54,2023-12-01,14,164.5472616404295
SC54,2023-12-01,15,164.5472616404295
SC54,2023-12-01,16,164.5472616404295
SC54,2023-12-01,17,164.5472616404295
SC54,2023-12-01,18,164.5472616404295
SC54,2023-12-01,19,164.5472616404295
SC54,2023-12-01,20,164.5472616404295
SC54,2023-12-01,21,164.5472616404295
SC54,2023-12-01,22,164.5472616404295
SC54,2023-12-01,23,164.5472616404295
SC54,2023-12-01,24,164.5472616404295
SC32,2023-12-01,1,164.82699693739414
SC32,2023-12-01,2,164.82699693739414
SC32,2023-12-01,3,164.82699693739414
SC32,2023-12-01,4,164.82699693739414
SC32,2023-12-01,5,164.82699693739414
SC32,2023-12-01,6,164.82699693739414
SC32,2023-12-01,7,164.82699693739414
SC32,2023-12-01,8,164.82699693739414
SC32,2023-12-01,9,164.82699693739414
SC32,2023-12-01,10,164.82699693739414
SC32,2023-12-01,11,164.82699693739414
SC32,2023-12-01,12,164.82699693739414
SC32,2023-12-01,13,164.82699693739414
SC32,2023-12-01,14,164.82699693739414
SC32,2023-12-01,15,164.82699693739414
SC32,2023-12-01,16,164.82699693739414
SC32,2023-12-01,17,164.82699693739414
SC32,2023-12-01,18,164.82699693739414
SC32,2023-12-01,19,164.82699693739414
SC32,2023-12-01,20,164.82699693739414
SC32,2023-12-01,21,164.82699693739414
SC32,2023-12-01,22,164.82699693739414
SC32,2023-12-01,23,164.82699693739414
SC32,2023-12-01,24,164.82699693739414
SC49,2023-12-01,1,424.8867380619049
SC49,2023-12-01,2,424.8867380619049
SC49,2023-12-01,3,424.8867380619049
SC49,2023-12-01,4,424.8867380619049
SC49,2023-12-01,5,424.8867380619049
SC49,2023-12-01,6,424.8867380619049
SC49,2023-12-01,7,424.8867380619049
SC49,2023-12-01,8,424.8867380619049
SC49,2023-12-01,9,424.8867380619049
SC49,2023-12-01,10,424.8867380619049
SC49,2023-12-01,11,424.8867380619049
SC49,2023-12-01,12,424.8867380619049
SC49,2023-12-01,13,424.8867380619049
SC49,2023-12-01,14,424.8867380619049
SC49,2023-12-01,15,424.8867380619049
SC49,2023-12-01,16,424.8867380619049
SC49,2023-12-01,17,424.8867380619049
SC49,2023-12-01,18,424.8867380619049
SC49,2023-12-01,19,424.8867380619049
SC49,2023-12-01,20,424.8867380619049
SC49,2023-12-01,21,424.8867380619049
SC49,2023-12-01,22,424.8867380619049
SC49,2023-12-01,23,424.8867380619049
SC49,2023-12-01,24,424.8867380619049
SC66,2023-12-01,1,47.894296377897255
SC66,2023-12-01,2,47.894296377897255
SC66,2023-12-01,3,47.894296377897255
SC66,2023-12-01,4,47.894296377897255
SC66,2023-12-01,5,47.894296377897255
SC66,2023-12-01,6,47.894296377897255
SC66,2023-12-01,7,47.894296377897255
SC66,2023-12-01,8,47.894296377897255
SC66,2023-12-01,9,47.894296377897255
SC66,2023-12-01,10,47.894296377897255
SC66,2023-12-01,11,47.894296377897255
SC66,2023-12-01,12,47.894296377897255
SC66,2023-12-01,13,47.894296377897255
SC66,2023-12-01,14,47.894296377897255
SC66,2023-12-01,15,47.894296377897255
SC66,2023-12-01,16,47.894296377897255
SC66,2023-12-01,17,47.894296377897255
SC66,2023-12-01,18,47.894296377897255
SC66,2023-12-01,19,47.894296377897255
SC66,2023-12-01,20,47.894296377897255
SC66,2023-12-01,21,47.894296377897255
SC66,2023-12-01,22,47.894296377897255
SC66,2023-12-01,23,47.894296377897255
SC66,2023-12-01,24,47.894296377897255
SC68,2023-12-01,1,47.882611647248275
SC68,2023-12-01,2,47.882611647248275
SC68,2023-12-01,3,47.882611647248275
SC68,2023-12-01,4,47.882611647248275
SC68,2023-12-01,5,47.882611647248275
SC68,2023-12-01,6,47.882611647248275
SC68,2023-12-01,7,47.882611647248275
SC68,2023-12-01,8,47.882611647248275
SC68,2023-12-01,9,47.882611647248275
SC68,2023-12-01,10,47.882611647248275
SC68,2023-12-01,11,47.882611647248275
SC68,2023-12-01,12,47.882611647248275
SC68,2023-12-01,13,47.882611647248275
SC68,2023-12-01,14,47.882611647248275
SC68,2023-12-01,15,47.882611647248275
SC68,2023-12-01,16,47.882611647248275
SC68,2023-12-01,17,47.882611647248275
