分拣中心,预测日期,预测货量
SC48,1,817.4288731813432
SC48,2,793.4426698684694
SC48,3,795.9371575117112
SC48,4,795.6758680343629
SC48,5,795.7032026052476
SC48,6,795.7003432512284
SC48,7,795.7006206512452
SC48,8,795.7006206512452
SC48,9,795.7006206512452
SC48,10,795.7006206512452
SC48,11,795.7006206512452
SC48,12,795.7006206512452
SC48,13,795.7006206512452
SC48,14,795.7006206512452
SC48,15,795.7006206512452
SC48,16,795.7006206512452
SC48,17,795.7006206512452
SC48,18,795.7006206512452
SC48,19,795.7006206512452
SC48,20,795.7006206512452
SC48,21,795.7006206512452
SC48,22,795.7006206512452
SC48,23,795.7006206512452
SC48,24,795.7006206512452
SC48,25,795.7006206512452
SC48,26,795.7006206512452
SC48,27,795.7006206512452
SC48,28,795.7006206512452
SC48,29,795.7006206512452
SC48,30,795.7006206512452
SC61,1,931.4492214769124
SC61,2,920.9657424241303
SC61,3,921.5891290754079
SC61,4,921.5518770664929
SC61,5,921.5540981590747
SC61,6,921.5539422929286
SC61,7,921.5539422929286
SC61,8,921.5539422929286
SC61,9,921.5539422929286
SC61,10,921.5539422929286
SC61,11,921.5539422929286
SC61,12,921.5539422929286
SC61,13,921.5539422929286
SC61,14,921.5539422929286
SC61,15,921.5539422929286
SC61,16,921.5539422929286
SC61,17,921.5539422929286
SC61,18,921.5539422929286
SC61,19,921.5539422929286
SC61,20,921.5539422929286
SC61,21,921.5539422929286
SC61,22,921.5539422929286
SC61,23,921.5539422929286
SC61,24,921.5539422929286
SC61,25,921.5539422929286
SC61,26,921.5539422929286
SC61,27,921.5539422929286
SC61,28,921.5539422929286
SC61,29,921.5539422929286
SC61,30,921.5539422929286
SC63,1,2600.8913450539117
SC63,2,2700.4267963469033
SC63,3,2692.5190516039734
SC63,4,2693.147031873465
SC63,5,2693.0970960929994
SC63,6,2693.101101636887
SC63,7,2693.1007455885415
SC63,8,2693.1007455885415
SC63,9,2693.1007455885415
SC63,10,2693.1007455885415
SC63,11,2693.1007455885415
SC63,12,2693.1007455885415
SC63,13,2693.1007455885415
SC63,14,2693.1007455885415
SC63,15,2693.1007455885415
SC63,16,2693.1007455885415
SC63,17,2693.1007455885415
SC63,18,2693.1007455885415
SC63,19,2693.1007455885415
SC63,20,2693.1007455885415
SC63,21,2693.1007455885415
SC63,22,2693.1007455885415
SC63,23,2693.1007455885415
SC63,24,2693.1007455885415
SC63,25,2693.1007455885415
SC63,26,2693.1007455885415
SC63,27,2693.1007455885415
SC63,28,2693.1007455885415
SC63,29,2693.1007455885415
SC63,30,2693.1007455885415
SC54,1,10352.714362025261
SC54,2,10492.798030778766
SC54,3,10480.918833456933
SC54,4,10481.92826139927
SC54,5,10481.842565752566
SC54,6,10481.849911093712
SC54,7,10481.849243335426
SC54,8,10481.849243335426
SC54,9,10481.849243335426
SC54,10,10481.849243335426
SC54,11,10481.849243335426
SC54,12,10481.849243335426
SC54,13,10481.849243335426
SC54,14,10481.849243335426
SC54,15,10481.849243335426
SC54,16,10481.849243335426
SC54,17,10481.849243335426
SC54,18,10481.849243335426
SC54,19,10481.849243335426
SC54,20,10481.849243335426
SC54,21,10481.849243335426
SC54,22,10481.849243335426
SC54,23,10481.849243335426
SC54,24,10481.849243335426
SC54,25,10481.849243335426
SC54,26,10481.849243335426
SC54,27,10481.849243335426
SC54,28,10481.849243335426
SC54,29,10481.849243335426
SC54,30,10481.849243335426
SC68,1,1245.9822635501623
SC68,2,1383.1925475001335
SC68,3,1368.894152969122
SC68,4,1370.3981581926346
SC68,5,1370.2401457428932
SC68,6,1370.256745710969
SC68,7,1370.2550135403872
SC68,8,1370.2552060037851
SC68,9,1370.2551578879356
SC68,10,1370.2551578879356
SC68,11,1370.2551578879356
SC68,12,1370.2551578879356
SC68,13,1370.2551578879356
SC68,14,1370.2551578879356
SC68,15,1370.2551578879356
SC68,16,1370.2551578879356
SC68,17,1370.2551578879356
SC68,18,1370.2551578879356
SC68,19,1370.2551578879356
SC68,20,1370.2551578879356
SC68,21,1370.2551578879356
SC68,22,1370.2551578879356
SC68,23,1370.2551578879356
SC68,24,1370.2551578879356
SC68,25,1370.2551578879356
SC68,26,1370.2551578879356
SC68,27,1370.2551578879356
SC68,28,1370.2551578879356
SC68,29,1370.2551578879356
SC68,30,1370.2551578879356
SC44,1,17037.768704354763
SC44,2,17112.79934567213
SC44,3,17116.931082189083
SC44,4,17117.155665963888
SC44,5,17117.16852092743
SC44,6,17117.169277101755
SC44,7,17117.169277101755
SC44,8,17117.169277101755
SC44,9,17117.169277101755
SC44,10,17117.169277101755
SC44,11,17117.169277101755
SC44,12,17117.169277101755
SC44,13,17117.169277101755
SC44,14,17117.169277101755
SC44,15,17117.169277101755
SC44,16,17117.169277101755
SC44,17,17117.169277101755
SC44,18,17117.169277101755
SC44,19,17117.169277101755
SC44,20,17117.169277101755
SC44,21,17117.169277101755
SC44,22,17117.169277101755
SC44,23,17117.169277101755
SC44,24,17117.169277101755
SC44,25,17117.169277101755
SC44,26,17117.169277101755
SC44,27,17117.169277101755
SC44,28,17117.169277101755
SC44,29,17117.169277101755
SC44,30,17117.169277101755
SC15,1,4046.034308195114
SC15,2,4058.853851079941
SC15,3,4058.1463809013367
SC15,4,4058.185430288315
SC15,5,4058.183248758316
SC15,6,4058.183466911316
SC15,7,4058.183466911316
SC15,8,4058.183466911316
SC15,9,4058.183466911316
SC15,10,4058.183466911316
SC15,11,4058.183466911316
SC15,12,4058.183466911316
SC15,13,4058.183466911316
SC15,14,4058.183466911316
SC15,15,4058.183466911316
SC15,16,4058.183466911316
SC15,17,4058.183466911316
SC15,18,4058.183466911316
SC15,19,4058.183466911316
SC15,20,4058.183466911316
SC15,21,4058.183466911316
SC15,22,4058.183466911316
SC15,23,4058.183466911316
SC15,24,4058.183466911316
SC15,25,4058.183466911316
SC15,26,4058.183466911316
SC15,27,4058.183466911316
SC15,28,4058.183466911316
SC15,29,4058.183466911316
SC15,30,4058.183466911316
SC66,1,874.5425152778625
SC66,2,860.0489680171013
SC66,3,861.5088057518005
SC66,4,861.3631409108639
SC66,5,861.3776827156544
SC66,6,861.3762399256229
SC66,7,861.3763728141785
SC66,8,861.3763728141785
SC66,9,861.3763728141785
SC66,10,861.3763728141785
SC66,11,861.3763728141785
SC66,12,861.3763728141785
SC66,13,861.3763728141785
SC66,14,861.3763728141785
SC66,15,861.3763728141785
SC66,16,861.3763728141785
SC66,17,861.3763728141785
SC66,18,861.3763728141785
SC66,19,861.3763728141785
SC66,20,861.3763728141785
SC66,21,861.3763728141785
SC66,22,861.3763728141785
