分拣中心,日期,小时,货量
SC35,2023-12-01,0,935.2373
SC35,2023-12-01,1,1446.4325
SC35,2023-12-01,2,1269.0367
SC35,2023-12-01,3,1033.0525
SC35,2023-12-01,4,838.92847
SC35,2023-12-01,5,756.0957
SC35,2023-12-01,6,737.56586
SC35,2023-12-01,7,742.63574
SC35,2023-12-01,8,753.38196
SC35,2023-12-01,9,761.32416
SC35,2023-12-01,10,764.5357
SC35,2023-12-01,11,764.4382
SC35,2023-12-01,12,763.12024
SC35,2023-12-01,13,761.95233
SC35,2023-12-01,14,761.3837
SC35,2023-12-01,15,761.30475
SC35,2023-12-01,16,761.44684
SC35,2023-12-01,17,761.6064
SC35,2023-12-01,18,761.6984
SC35,2023-12-01,19,761.7224
SC35,2023-12-01,20,761.70953
SC35,2023-12-01,21,761.68866
SC35,2023-12-01,22,761.67444
SC35,2023-12-01,23,761.6694
SC35,2023-12-02,0,761.67004
SC35,2023-12-02,1,761.6726
SC35,2023-12-02,2,761.67474
SC35,2023-12-02,3,761.6757
SC35,2023-12-02,4,761.6758
SC35,2023-12-02,5,761.6755
SC35,2023-12-02,6,761.67523
SC35,2023-12-02,7,761.67505
SC35,2023-12-02,8,761.675
SC35,2023-12-02,9,761.675
SC35,2023-12-02,10,761.67505
SC35,2023-12-02,11,761.6751
SC35,2023-12-02,12,761.6751
SC35,2023-12-02,13,761.6751
SC35,2023-12-02,14,761.6751
SC35,2023-12-02,15,761.6751
SC35,2023-12-02,16,761.6751
SC35,2023-12-02,17,761.6751
SC35,2023-12-02,18,761.6751
SC35,2023-12-02,19,761.6751
SC35,2023-12-02,20,761.6751
SC35,2023-12-02,21,761.6751
SC35,2023-12-02,22,761.6751
SC35,2023-12-02,23,761.6751
SC35,2023-12-03,0,761.6751
SC35,2023-12-03,1,761.6751
SC35,2023-12-03,2,761.6751
SC35,2023-12-03,3,761.6751
SC35,2023-12-03,4,761.6751
SC35,2023-12-03,5,761.6751
SC35,2023-12-03,6,761.6751
SC35,2023-12-03,7,761.6751
SC35,2023-12-03,8,761.6751
SC35,2023-12-03,9,761.6751
SC35,2023-12-03,10,761.6751
SC35,2023-12-03,11,761.6751
SC35,2023-12-03,12,761.6751
SC35,2023-12-03,13,761.6751
SC35,2023-12-03,14,761.6751
SC35,2023-12-03,15,761.6751
SC35,2023-12-03,16,761.6751
SC35,2023-12-03,17,761.6751
SC35,2023-12-03,18,761.6751
SC35,2023-12-03,19,761.6751
SC35,2023-12-03,20,761.6751
SC35,2023-12-03,21,761.6751
SC35,2023-12-03,22,761.6751
SC35,2023-12-03,23,761.6751
SC35,2023-12-04,0,761.6751
SC35,2023-12-04,1,761.6751
SC35,2023-12-04,2,761.6751
SC35,2023-12-04,3,761.6751
SC35,2023-12-04,4,761.6751
SC35,2023-12-04,5,761.6751
SC35,2023-12-04,6,761.6751
SC35,2023-12-04,7,761.6751
SC35,2023-12-04,8,761.6751
SC35,2023-12-04,9,761.6751
SC35,2023-12-04,10,761.6751
SC35,2023-12-04,11,761.6751
SC35,2023-12-04,12,761.6751
SC35,2023-12-04,13,761.6751
SC35,2023-12-04,14,761.6751
SC35,2023-12-04,15,761.6751
SC35,2023-12-04,16,761.6751
SC35,2023-12-04,17,761.6751
SC35,2023-12-04,18,761.6751
SC35,2023-12-04,19,761.6751
SC35,2023-12-04,20,761.6751
SC35,2023-12-04,21,761.6751
SC35,2023-12-04,22,761.6751
SC35,2023-12-04,23,761.6751
SC35,2023-12-05,0,761.6751
SC35,2023-12-05,1,761.6751
SC35,2023-12-05,2,761.6751
SC35,2023-12-05,3,761.6751
SC35,2023-12-05,4,761.6751
SC35,2023-12-05,5,761.6751
SC35,2023-12-05,6,761.6751
SC35,2023-12-05,7,761.6751
SC35,2023-12-05,8,761.6751
SC35,2023-12-05,9,761.6751
SC35,2023-12-05,10,761.6751
SC35,2023-12-05,11,761.6751
SC35,2023-12-05,12,761.6751
SC35,2023-12-05,13,761.6751
SC35,2023-12-05,14,761.6751
SC35,2023-12-05,15,761.6751
SC35,2023-12-05,16,761.6751
SC35,2023-12-05,17,761.6751
SC35,2023-12-05,18,761.6751
SC35,2023-12-05,19,761.6751
SC35,2023-12-05,20,761.6751
SC35,2023-12-05,21,761.6751
SC35,2023-12-05,22,761.6751
SC35,2023-12-05,23,761.6751
SC35,2023-12-06,0,761.6751
SC35,2023-12-06,1,761.6751
SC35,2023-12-06,2,761.6751
SC35,2023-12-06,3,761.6751
SC35,2023-12-06,4,761.6751
SC35,2023-12-06,5,761.6751
SC35,2023-12-06,6,761.6751
